,station_id,time_of_day,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,time_interval,bike_uptime,dock_uptime,day_of_week,last_updated_hour,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
2955,3597,Peak Weekends,0.0,720,720,720,1106678602721,4331,291,13378,0,30,7200,0.95,1.0,3957,10453,,2.0,22.0,,3597.0,,2018-10-25 01:16:25 PM,40.7577284,,-73.9166368,,43 St & Broadway,,43 St & Broadway,1.0,In Service,False,25.0
2956,3598,Other,0.0,2980,2980,2980,4580398492879,9580,752,46288,0,113,29800,0.8077181208053691,1.0,8481,31900,,0.0,18.0,,3598.0,,2018-10-25 01:16:14 PM,40.7595701,,-73.9142678,,Newton Rd & 44 St,,Newton Rd & 44 St,1.0,In Service,False,19.0
2957,3598,Peak Weekday Evenings,0.0,240,240,240,368897042268,369,72,4119,0,5,2400,0.5083333333333333,1.0,480,4200,,0.0,18.0,,3598.0,,2018-10-25 01:16:14 PM,40.7595701,,-73.9142678,,Newton Rd & 44 St,,Newton Rd & 44 St,1.0,In Service,False,19.0
2958,3598,Peak Weekday Mornings,0.0,359,359,359,551795459989,1777,111,4933,0,45,3590,0.9944289693593314,1.0,720,2872,,0.0,18.0,,3598.0,,2018-10-25 01:16:14 PM,40.7595701,,-73.9142678,,Newton Rd & 44 St,,Newton Rd & 44 St,1.0,In Service,False,19.0
2959,3598,Peak Weekends,0.0,720,720,720,1106677262095,2288,0,11392,0,1,7200,0.8402777777777778,1.0,3957,10453,,0.0,18.0,,3598.0,,2018-10-25 01:16:14 PM,40.7595701,,-73.9142678,,Newton Rd & 44 St,,Newton Rd & 44 St,1.0,In Service,False,19.0
2960,3599,Other,0.0,2980,2527,2527,3919939387882,44950,3221,20679,0,474,29800,0.8513422818791946,0.7654362416107383,8481,31900,,21.0,6.0,,3599.0,,2018-10-25 01:16:27 PM,40.66314,,-73.9605695,,Franklin Ave & Empire Blvd,,Franklin Ave & Empire Blvd,1.0,In Service,False,27.0
2961,3599,Peak Weekday Evenings,0.0,240,212,212,332033336306,3150,161,2521,0,11,2400,0.9,0.8791666666666667,480,4200,,21.0,6.0,,3599.0,,2018-10-25 01:16:27 PM,40.66314,,-73.9605695,,Franklin Ave & Empire Blvd,,Franklin Ave & Empire Blvd,1.0,In Service,False,27.0
2962,3599,Peak Weekday Mornings,0.0,359,305,305,468849614168,5777,378,2079,1,131,3590,0.8495821727019499,0.6880222841225627,720,2872,,21.0,6.0,,3599.0,,2018-10-25 01:16:27 PM,40.66314,,-73.9605695,,Franklin Ave & Empire Blvd,,Franklin Ave & Empire Blvd,1.0,In Service,False,27.0
2963,3599,Peak Weekends,0.0,720,573,573,880908774432,11812,715,2944,0,9,7200,0.7958333333333333,0.7236111111111111,3957,10453,,21.0,6.0,,3599.0,,2018-10-25 01:16:27 PM,40.66314,,-73.9605695,,Franklin Ave & Empire Blvd,,Franklin Ave & Empire Blvd,1.0,In Service,False,27.0
2964,3601,Other,0.0,2980,2692,2692,4580393346326,45519,1682,9356,0,113,29800,1.0,0.6989932885906041,8481,31900,,9.0,0.0,,3601.0,,2018-10-21 05:34:21 AM,40.6627059,,-73.9569115,,Sterling St & Bedford Ave,,Sterling St & Bedford Ave,3.0,Not In Service,False,19.0
2965,3601,Peak Weekday Evenings,0.0,240,216,216,368897513337,3110,136,1314,0,0,2400,1.0,0.9291666666666668,480,4200,,9.0,0.0,,3601.0,,2018-10-21 05:34:21 AM,40.6627059,,-73.9569115,,Sterling St & Bedford Ave,,Sterling St & Bedford Ave,3.0,Not In Service,False,19.0
2966,3601,Peak Weekday Mornings,0.0,359,341,341,551795374078,5887,211,669,0,57,3590,1.0,0.7019498607242339,720,2872,,9.0,0.0,,3601.0,,2018-10-21 05:34:21 AM,40.6627059,,-73.9569115,,Sterling St & Bedford Ave,,Sterling St & Bedford Ave,3.0,Not In Service,False,19.0
2967,3601,Peak Weekends,0.0,720,579,579,1106673115010,12345,503,832,0,3,7200,1.0,0.4791666666666667,3957,10453,,9.0,0.0,,3601.0,,2018-10-21 05:34:21 AM,40.6627059,,-73.9569115,,Sterling St & Bedford Ave,,Sterling St & Bedford Ave,3.0,Not In Service,False,19.0
2968,3602,Other,0.0,2980,2854,2854,4580405850309,15065,423,50910,0,91,29800,0.851006711409396,0.9963087248322148,8481,31900,,2.0,20.0,,3602.0,,2018-10-25 01:15:13 PM,40.763154,,-73.920827,,31 Ave & 34 St,,31 Ave & 34 St,1.0,In Service,False,23.0
2969,3602,Peak Weekday Evenings,0.0,240,228,228,368897738429,257,24,5035,0,8,2400,0.575,1.0,480,4200,,2.0,20.0,,3602.0,,2018-10-25 01:15:13 PM,40.763154,,-73.920827,,31 Ave & 34 St,,31 Ave & 34 St,1.0,In Service,False,23.0
2970,3602,Peak Weekday Mornings,0.0,359,359,359,551796405921,2734,36,5402,0,14,3590,0.9526462395543176,1.0,720,2872,,2.0,20.0,,3602.0,,2018-10-25 01:15:13 PM,40.763154,,-73.920827,,31 Ave & 34 St,,31 Ave & 34 St,1.0,In Service,False,23.0
